"relative_path","area","artifact_kind","bytes","lines","sha256"
".gitignore","repository-metadata","other","143","8","0157a474051de759f0772a715ba940964bcf762d1a0d895f86fc269828443150"
"app/app-authorization-ims-db2-mq/bms/COPAU00.bms","optional-authorization-ims-db2-mq","BMS map source","41503","515","430a17d0182535e92299bcb55b0b37f84f73c774db9217c949a10b1130c60587"
"app/app-authorization-ims-db2-mq/bms/COPAU01.bms","optional-authorization-ims-db2-mq","BMS map source","23566","294","03264aee7679c4ec0cd63b947524da87b0968df7e86cc61689d4cdddc84ace31"
"app/app-authorization-ims-db2-mq/cbl/CBPAUP0C.cbl","optional-authorization-ims-db2-mq","COBOL source","15218","386","025a61725c3a629888279630a81e9134248619b282db80b6b04d261bc8e4feda"
"app/app-authorization-ims-db2-mq/cbl/COPAUA0C.cbl","optional-authorization-ims-db2-mq","COBOL source","82463","1026","dc70a786d89991a2658a7ad395c10b4e38aaf32294594183306af72ed2ccd56a"
"app/app-authorization-ims-db2-mq/cbl/COPAUS0C.cbl","optional-authorization-ims-db2-mq","COBOL source","45075","1032","99079295fe0f901ecac0235f648cb982d9663921e5e32692686f372a8e9895b9"
"app/app-authorization-ims-db2-mq/cbl/COPAUS1C.cbl","optional-authorization-ims-db2-mq","COBOL source","23604","604","97b800474cdf718faf5d22a2e8fd7e331b20e18e2ec889911bd0a7defcbc97dc"
"app/app-authorization-ims-db2-mq/cbl/COPAUS2C.cbl","optional-authorization-ims-db2-mq","COBOL source","19294","244","b3c057406a450c65f28d52a7c4e44e6a6bf0dc5ba6ee8e9bf275e9eb282ddc46"
"app/app-authorization-ims-db2-mq/cbl/DBUNLDGS.CBL","optional-authorization-ims-db2-mq","COBOL source","29561","366","92afb607eacbf5d1dfa0b681dca22503ba8b5470fadbf291dca8b014cb0f1a96"
"app/app-authorization-ims-db2-mq/cbl/PAUDBLOD.CBL","optional-authorization-ims-db2-mq","COBOL source","29807","369","e8b2132e9aa907ca5cccd3b7ae76380e2b302ed3e2a93c82fbba2f35245909c3"
"app/app-authorization-ims-db2-mq/cbl/PAUDBUNL.CBL","optional-authorization-ims-db2-mq","COBOL source","25543","317","b45ef5b828ec20816dcd537c14757ea3b45845b7cb0ec104f0f490b2e956856d"
"app/app-authorization-ims-db2-mq/cpy/CCPAUERY.cpy","optional-authorization-ims-db2-mq","COBOL copybook or generated BMS copybook","2819","40","d5863bce90d4509c9adc22f5844519e0101151b1e763c799e274a6257c63bba8"
"app/app-authorization-ims-db2-mq/cpy/CCPAURLY.cpy","optional-authorization-ims-db2-mq","COBOL copybook or generated BMS copybook","1516","24","d8d8bfccf7e7616c5c302d1739f306411f432f191619da3ea057b0a34721b345"
"app/app-authorization-ims-db2-mq/cpy/CCPAURQY.cpy","optional-authorization-ims-db2-mq","COBOL copybook or generated BMS copybook","2484","36","359613ceb7e66a8e37d8ba1ec663185429a8db212eeb1d3b550a03e5b115531e"
"app/app-authorization-ims-db2-mq/cpy/CIPAUDTY.cpy","optional-authorization-ims-db2-mq","COBOL copybook or generated BMS copybook","3941","54","f910036439cfbeb9bc851b32e5c9f25937d54cd42e54619ac268824c98d6ace7"
"app/app-authorization-ims-db2-mq/cpy/CIPAUSMY.cpy","optional-authorization-ims-db2-mq","COBOL copybook or generated BMS copybook","2081","31","5578a6f952309907534c8312f922944c113ea69a75fea464f2f9e526a902bf87"
"app/app-authorization-ims-db2-mq/cpy/IMSFUNCS.cpy","optional-authorization-ims-db2-mq","COBOL copybook or generated BMS copybook","1571","27","98c198eb5512eea0a330c4d6a38ee4a4abc2936058fcd56574e7fea42e466184"
"app/app-authorization-ims-db2-mq/cpy/PADFLPCB.CPY","optional-authorization-ims-db2-mq","COBOL copybook or generated BMS copybook","1360","26","0ab64403190933a3b6c8a4a1a667365695933bcd8a1f1867c933eb78264e77e2"
"app/app-authorization-ims-db2-mq/cpy/PASFLPCB.CPY","optional-authorization-ims-db2-mq","COBOL copybook or generated BMS copybook","1360","26","c8a441a8ccdd02aaa76fc29ebb26ebae03c91eb6a6c670ac06c46a39f6d80b93"
"app/app-authorization-ims-db2-mq/cpy/PAUTBPCB.CPY","optional-authorization-ims-db2-mq","COBOL copybook or generated BMS copybook","1360","26","665e56479655bcadb24fe5974ab70284a9e5cec5db005250209f5ec873aa5773"
"app/app-authorization-ims-db2-mq/cpy-bms/COPAU00.cpy","optional-authorization-ims-db2-mq","COBOL copybook or generated BMS copybook","62136","764","5308db56dfbb8003e94b66c829308d851576eddbf1294e3d92ca5d4454ae0bd4"
"app/app-authorization-ims-db2-mq/cpy-bms/COPAU01.cpy","optional-authorization-ims-db2-mq","COBOL copybook or generated BMS copybook","27696","344","b573a67740f6977bc6eaeb3b128e0b778cf863d45e048f26944898fcde164446"
"app/app-authorization-ims-db2-mq/csd/CRDDEMO2.csd","optional-authorization-ims-db2-mq","CICS resource definitions","4918","79","a142bc32cdf017be8a5c822815fe9c9b7cf0d3a1e6cf0c84c4aef7c2fd2aff9d"
"app/app-authorization-ims-db2-mq/data/EBCDIC/AWS.M2.CARDDEMO.IMSDATA.DBPAUTP0.dat","optional-authorization-ims-db2-mq","binary sample data","51736",,"cce00a6c86b3e02ee6d3c99723d5d5c080f9c1e1ae779591e98ba873849d3569"
"app/app-authorization-ims-db2-mq/dcl/AUTHFRDS.dcl","optional-authorization-ims-db2-mq","Db2 declaration copybook","6730","89","e5c272465c7ba675d201a5f605cce093a85568a780cc4a483911fddc313930b7"
"app/app-authorization-ims-db2-mq/ddl/AUTHFRDS.ddl","optional-authorization-ims-db2-mq","Db2 DDL","1379","28","0adb392af580fd8d29cb1bf3d84f9f69fff57f416bf0f03658863b0eda7db285"
"app/app-authorization-ims-db2-mq/ddl/XAUTHFRD.ddl","optional-authorization-ims-db2-mq","Db2 DDL","114","4","e018d06d795a702fa6a7a6b0c7d5e8c810e911bb6f9e3cc47b4756c2bd6cf7c9"
"app/app-authorization-ims-db2-mq/ims/DBPAUTP0.dbd","optional-authorization-ims-db2-mq","IMS DBD","2209","41","cbe134350a030a4d905f04588f8f2b94ab3c1477b14a497b04fb8096a951c581"
"app/app-authorization-ims-db2-mq/ims/DBPAUTX0.dbd","optional-authorization-ims-db2-mq","IMS DBD","1710","34","8454f72e26f00fdf96f01e47590d20aa7da4eae86e795f00ba8415a7813c4e52"
"app/app-authorization-ims-db2-mq/ims/DLIGSAMP.PSB","optional-authorization-ims-db2-mq","IMS PSB","1127","24","9a7141cdee3e7dd6008a34b4d37d4756f54363cacc4ae13cb37e981cabc2692c"
"app/app-authorization-ims-db2-mq/ims/PADFLDBD.DBD","optional-authorization-ims-db2-mq","IMS DBD","1416","30","40e855743572ce60b2a58fde805f613476201d4c20f67d2b51651e7cd1f77b5a"
"app/app-authorization-ims-db2-mq/ims/PASFLDBD.DBD","optional-authorization-ims-db2-mq","IMS DBD","1416","30","a512f07874b8849535e9e1e9a12a1faeb15b0f1d8739b6c48567f8585e9c24fc"
"app/app-authorization-ims-db2-mq/ims/PAUTBUNL.PSB","optional-authorization-ims-db2-mq","IMS PSB","1019","22","843ea1b9989e7c50d3dfb70f18d2c38e91a2df25309cb91267421c03610273b2"
"app/app-authorization-ims-db2-mq/ims/PSBPAUTB.psb","optional-authorization-ims-db2-mq","IMS PSB","1165","21","4a214835124edc7adf28b8f45fcc9a8e1e7b23c5a7e434252bfc4f28d789ba2a"
"app/app-authorization-ims-db2-mq/ims/PSBPAUTL.psb","optional-authorization-ims-db2-mq","IMS PSB","1164","21","b21f21db3a2b780e1147a57527a9f163b7f7b8045099384dde717d6623353385"
"app/app-authorization-ims-db2-mq/jcl/CBPAUP0J.jcl","optional-authorization-ims-db2-mq","JCL","1778","47","c90fbd21b8ea2b6448b8939ff4f3b47c6f73472465cd7d1e25871f7779063a86"
"app/app-authorization-ims-db2-mq/jcl/DBPAUTP0.jcl","optional-authorization-ims-db2-mq","JCL","3459","47","3fabb7f3230f98fee855a8d436f70f4bd601a9e544f29c83d413a3a7a61efbcd"
"app/app-authorization-ims-db2-mq/jcl/LOADPADB.JCL","optional-authorization-ims-db2-mq","JCL","2025","51","9a0a88472f69236d14b36ecc89d83f35179d5c720c2c3a465af5f7ff510fb067"
"app/app-authorization-ims-db2-mq/jcl/UNLDGSAM.JCL","optional-authorization-ims-db2-mq","JCL","2049","53","1da94de3db6f265578c8b7498a2371c0c7246c8409f4ac44eb8013d3f0e113b8"
"app/app-authorization-ims-db2-mq/jcl/UNLDPADB.JCL","optional-authorization-ims-db2-mq","JCL","2695","69","e2c26ca546ab427d66cadeaff07345bad706c979ca396fb04e60d401dc93c66b"
"app/app-authorization-ims-db2-mq/README.md","optional-authorization-ims-db2-mq","repository documentation","12408","358","28f0e41d0dd802968c634c1fba74248f4ccc67562ee1eb4488326d15d38fbbf6"
"app/app-transaction-type-db2/bms/COTRTLI.bms","optional-transaction-type-db2","BMS map source","20740","338","5467b2008587ef84e9dc4af9f63d49ccee6e42c947299a8eaafc37a2fca98cd8"
"app/app-transaction-type-db2/bms/COTRTUP.bms","optional-transaction-type-db2","BMS map source","8460","137","32cf464a74182953b023e3123252c11fcb466eb43b0040cb50aef1287ce778d4"
"app/app-transaction-type-db2/cbl/COBTUPDT.cbl","optional-transaction-type-db2","COBOL source","19434","237","0bd7b826bf1ebaad053e71a9f78083fdeddcf60d144ad90efa5d20f97e0838b7"
"app/app-transaction-type-db2/cbl/COTRTLIC.cbl","optional-transaction-type-db2","COBOL source","87627","2098","2960cf84c1e4d9cc57d4436303bf44b75d4ff9cdd3fbdef2bfc536a886dc1390"
"app/app-transaction-type-db2/cbl/COTRTUPC.cbl","optional-transaction-type-db2","COBOL source","139564","1702","2480bde135c756c86b53837d2d6bc93a62b7c8b6ef6651f102114600581d9c7f"
